,LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,default.payment.next.month,FLAG_UTIL_RAT1,UTIL_RAT1,UTIL_RAT_AVG,UTIL_RAT_RANGE,UTIL_RAT_MAX,PAY_AMT456,FLAG_PAY_RAT1,PAY_RAT1,PAY_RAT_AVG,PAY_RAT_RANGE,PAY_RAT_MAX
0,20000.0,2,2,0,0,0,0,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,1,0,0.19565,0.0642,0.19565,0.19565,0.0,0,0.0,0.037007197335911485,0.2220431840154689,0.2220431840154689
1,120000.0,0,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1,0,0.02235,0.023718055555555558,0.014416666666666666,0.028791666666666667,3000.0,0,0.0,0.31179037716772223,0.6131207847946045,0.6131207847946045
2,90000.0,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,0,0,0.32487777777777777,0.1882462962962963,0.17422222222222222,0.32487777777777777,7000.0,0,0.051915184678522575,0.11513365732593739,0.26962822368160605,0.3215434083601286
3,50000.0,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,0,0,0.9398,0.7711133333333332,0.41954,0.98582,3169.0,0,0.042561341533485134,0.036394898536957515,0.01821662028054348,0.042561341533485134
4,50000.0,0,0,0,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,0,0,0.17234,0.36446333333333336,0.6033,0.7167,10368.0,0,0.23207240659085634,0.3353958896439859,0.9645097219318419,1.0
5,50000.0,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,0,1,1.0,0.69679,0.61212,1.0,2800.0,0,0.03881927299265539,0.037417488712676826,0.04015521227811506,0.051559680329981955
6,500000.0,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,0,0,0.73593,0.8939806666666666,0.26407,1.0,47759.0,0,0.14947033149801883,0.07112696343138275,0.12100265835245483,0.14947033149801883
7,100000.0,0,0,0,0,0,0,11876.0,380.0,601.0,221.0,0.0,567.0,380.0,601.0,0.0,0,0,0.11876,0.022741666666666664,0.11876,0.11876,3810.0,0,0.03199461143386377,0.6719991019056439,1.0,1.0
8,140000.0,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,0,0,0.08060714285714286,0.07763333333333333,0.07412142857142856,0.10068571428571428,3000.0,0,0.2949672160198476,0.12768931806397196,0.2949672160198476,0.2949672160198476
9,20000.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,0,0,0.0,0.224325,0.6956,0.6956,14129.0,0,0.0,0.18104243542435425,1.0,1.0
10,200000.0,0,0,2,0,0,0,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,0,0,0.055365,0.0287225,0.046224999999999995,0.055365,4104.0,0,0.20823550659201734,0.22591831986869582,0.9987740089906008,1.0
11,260000.0,0,0,0,0,0,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,0,0,0.04715769230769231,0.056646794871794866,0.05296153846153846,0.08571923076923077,25941.0,1,1.0,0.5978858368993701,1.0,1.0
12,630000.0,0,0,0,0,0,0,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,0,0,0.019265079365079363,0.010848412698412697,0.014709523809523808,0.019265079365079363,9370.0,0,0.08238589553468446,0.5872324951769211,0.9998461775111521,0.9998461775111521
13,70000.0,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,1,0,0.9400285714285714,0.8063928571428572,0.44617142857142855,0.9624142857142857,4500.0,0,0.048630001671656306,0.030119979719106422,0.048630001671656306,0.048630001671656306
14,250000.0,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,0,0,0.283548,0.24906066666666668,0.06150000000000003,0.283548,9000.0,0,0.042320279878117595,0.04854919734687422,0.011721115830995589,0.054041395709113184
15,50000.0,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,0,1,1.0,0.6526733333333334,0.43767999999999996,1.0,3600.0,0,0.0,0.03544575307335195,0.05141564406663467,0.05141564406663467
16,20000.0,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,1,0,0.7688,0.884675,0.1864,0.9552,1650.0,0,0.20810301099044026,0.0643857253062411,0.20810301099044026,0.20810301099044026
17,320000.0,0,0,0,0,0,0,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,0,0,0.79151875,0.5031322916666667,0.7732187500000001,0.79151875,265599.0,0,0.04089432146142518,0.3354327468071732,0.9594381370747596,1.0
18,360000.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
19,180000.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,130000.0,0,0,0,0,0,0,38358.0,27688.0,24489.0,20616.0,11802.0,930.0,3000.0,1537.0,1000.0,0,0,0.2950615384615385,0.15882435897435898,0.2879076923076923,0.2950615384615385,36694.0,0,0.07820850387132094,0.2250586260200422,0.9591670069416088,1.0
21,120000.0,0,0,0,0,0,0,316.0,316.0,316.0,0.0,632.0,316.0,316.0,316.0,0.0,1,0,0.0026333333333333334,0.0026333333333333334,0.005266666666666667,0.005266666666666667,948.0,0,0.9968454258675079,0.582150160386589,1.0,1.0
22,70000.0,2,0,0,2,2,2,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0,2007.0,3582.0,0.0,1,0,0.5869571428571428,0.6320833333333334,0.0831142857142857,0.6700714285714285,5421.0,0,0.0488463785046729,0.04243631432387621,0.0843895773453329,0.0843895773453329
23,450000.0,0,0,0,0,0,0,5512.0,19420.0,1473.0,560.0,0.0,0.0,19428.0,1473.0,560.0,1,0,0.012248888888888889,0.009987037037037039,0.04315555555555556,0.04315555555555556,1128.0,1,1.0,0.40929405381218203,1.0,1.0
